não precisei pagar o ingresso,alegria
se eu ajeitar tudo fica bem,alegria
minha fortuna ultrapassa a sua,alegria
sou muito afortunado,alegria
e benefico para todos esta nova medida,alegria
ficou lindo,alegria
achei esse sapato muito simpático,alegria
estou ansiosa pela sua chegada,alegria
congratulações pelo seu aniversário,alegria
delicadamente ele a colocou para dormir,alegria
a musica e linda,alegria
sem musica eu não vivo,alegria
conclui uma tarefa muito difícil,alegria
conclui minha graduação,alegria
estou muito contente com tudo,alegria
eu confio em você,alegria
e um prazer conhecê-lo,alegria
o coleguismo de vocês e animador,alegria
estou aproveitando as ferias,alegria
vamos aproveitar as ferias,alegria
e muito divertido este jogo,alegria
vamos ter muita diversão,alegria
não achei que me divertiria tanto assim,alegria
vou consentir o orçamento ao cliente,alegria
com o consentimento dos meus pais podemos nos casar,alegria
eu adorei este perfume,alegria
sua bondade e cativante,alegria
estou despreocupada,alegria
não me preocupo com o que aconteceu,alegria
me sinto completamente segura,alegria
estimo muito o seu trabalho,alegria
somos estimados por nossa família,alegria
concretizamos nossa ideia,alegria
nosso ideal foi alcançado,alegria
estamos muito felizes juntos,alegria
estou tão animada com os preparativos para o casamento,alegria
você será muito amado meu filho,alegria
os apaixonados são maravilhosos,alegria
agradeço imensamente o seu apoio nestes dias,alegria
esta comida me parece muito atraente,alegria
você me completa,alegria
poderemos completar o projeto hoje!,alegria
estamos namorando,alegria
estou namorando este vestido a um tempo,alegria
pude comprar meu celular hoje,alegria
e um deleite poder compartilhar minhas vitórias,alegria
ela e um boa garota,alegria
estivemos em um ótimo show,alegria
o mundo e feio como o pecado,desgosto
a coisa mais difícil de esconder e aquilo que não existe,desgosto
você errou feio aquele gol,desgosto
nunca vou me casar sou muito feia,desgosto
os golpes da adversidade são terrivelmente amargos,desgosto
os homem ficam terrivelmente chatos,desgosto
abominavelmente convencido,desgosto
terrivelmente irritado,desgosto
as instituições publicas estão terrivelmente decadentes,desgosto
a população viveu em isolamento por muito tempo,desgosto
estou terrivelmente preocupada,desgosto
o nacionalismo e uma doença infantil,desgosto
se me es antipático a minha negação esta pronta,desgosto
muitos documentários sobre esse casal antipático,desgosto
sua beleza não desfaça sua antipatia,desgosto
esta e uma experiência desagradável,desgosto
desagradável estrago nos banheiros,desgosto
o mais irritante no amor e que se trata de um crime que precisa de um cúmplice,desgosto
a situação nos causa grande incomodo,desgosto
estou preocupado com o incomodo na garganta,desgosto
simplesmente não quero amolação da policia,desgosto
você e uma criaturinha muito impertinente,desgosto
o peso e a dor da vida,desgosto
me arrependo amargamente de minhas ações,desgosto
o destino e cruel e os homens não são dignos de compaixão,desgosto
o ódio conduz ao isolamento cruel e ao desespero,desgosto
encerrou com o massacre mais repudiável e asqueroso que se conhece,desgosto
de mal gosto e asqueroso,desgosto
tudo e inserto neste mundo hediondo,desgosto
o crime de corrupção e um crime hediondo,desgosto
o rio esta fetido e de cor escura,desgosto
muito lixo no rio o deixa malcheiroso,desgosto
